primaryName,birthYear,deathYear,primaryProfession
Mark Wahlberg,1971,\N,"producer,actor,soundtrack"
Denzel Washington,1954,\N,"actor,producer,soundtrack"
Sigourney Weaver,1949,\N,"actress,soundtrack,producer"
Robin Williams,1951,2014,"actor,soundtrack,writer"
Bruce Willis,1955,\N,"actor,soundtrack,producer"
John Woo,1946,\N,"producer,director,writer"
Edward D. Wood Jr.,1924,1978,"writer,director,actor"
James Woods,1947,\N,"actor,producer,soundtrack"
RenÃ©e Zellweger,1969,\N,"actress,soundtrack,producer"
Timothy Dowling,1973,\N,"actor,writer"
Robert Ellis,1892,1974,"actor,director,writer"
Robert Ellis,1888,1935,"art_director,miscellaneous"
Isabelle Adjani,1955,\N,"actress,soundtrack,producer"
Ben Affleck,1972,\N,"producer,actor,writer"
Jenny Agutter,1952,\N,"actress,soundtrack"
Alan Alda,1936,\N,"actor,miscellaneous,soundtrack"
Stephanie Zimbalist,1956,\N,"actress,writer"
Ginger Lynn,1962,\N,"actress,director,writer"
Joan Allen,1956,\N,"actress,producer"
Karen Allen,1951,\N,"actress,director,soundtrack"
Nancy Allen,1950,\N,"actress,soundtrack"
Kirstie Alley,1951,\N,"actress,producer,writer"
Pedro AlmodÃ_var,1949,\N,"writer,director,soundtrack"
Robert Altman,1925,2006,"director,producer,writer"
Ursula Andress,1936,\N,actress
Julie Andrews,1935,\N,"actress,soundtrack,producer"
Ann-Margret,1941,\N,"actress,soundtrack"
Jean-Jacques Annaud,1943,\N,"director,writer,producer"
Gabrielle Anwar,1970,\N,"actress,producer,soundtrack"
Anne Archer,1947,\N,"actress,producer,soundtrack"
Fanny Ardant,1949,\N,"actress,director,writer"
Alan Arkin,1934,\N,"actor,soundtrack,director"
David Arquette,1971,\N,"producer,actor,director"
Rosanna Arquette,1959,\N,"actress,director,producer"
Sean Astin,1971,\N,"actor,producer,director"
Richard Attenborough,1923,2014,"actor,producer,director"
Pernilla August,1958,\N,"actress,director,writer"
Hank Azaria,1964,\N,"actor,soundtrack,producer"
Catherine Bach,1954,\N,"actress,soundtrack"
Scott Baio,1960,\N,"actor,director,producer"
Scott Bairstow,1970,\N,actor
Brenda Bakke,1963,\N,actress
Adam Baldwin,1962,\N,"actor,soundtrack"
Alec Baldwin,1958,\N,"actor,producer,soundtrack"
Stephen Baldwin,1966,\N,"actor,producer,director"
William Baldwin,1963,\N,"actor,producer,stunts"
Christian Bale,1974,\N,"actor,editorial_department,producer"
Ellen Barkin,1954,\N,"actress,producer"
John Barry,1933,2011,"music_department,soundtrack,composer"
Angela Bassett,1958,\N,"actress,producer,director"
Michelle Bauer,1958,\N,"actress,miscellaneous,costume_department"
Sean Bean,1959,\N,"actor,producer"
Amanda Bearse,1958,\N,"actress,director,producer"
Kate Beckinsale,1973,\N,"actress,soundtrack"
Robert Beltran,1953,\N,"actor,soundtrack"
Tom Berenger,1949,\N,"actor,producer,writer"
Candice Bergen,1946,\N,"actress,producer,soundtrack"
Michael Biehn,1956,\N,"actor,producer,director"
Juliette Binoche,1964,\N,"actress,art_department,miscellaneous"
Thora Birch,1982,\N,"actress,producer,soundtrack"
Jacqueline Bisset,1944,\N,"actress,producer"
Honor Blackman,1925,\N,"actress,soundtrack"
Linda Blair,1959,\N,"actress,soundtrack,producer"
Mel Blanc,1908,1989,"actor,soundtrack,music_department"
Brian Blessed,1936,\N,"actor,soundtrack,director"
Helena Bonham Carter,1966,\N,"actress,soundtrack,producer"
Ernest Borgnine,1917,2012,"actor,soundtrack,producer"
David Bowie,1947,2016,"soundtrack,actor,composer"
Bruce Boxleitner,1950,\N,"actor,producer"
Annie Rosar,1888,1963,actress
Amy Brenneman,1964,\N,"actress,producer,writer"
Jeff Bridges,1949,\N,"actor,soundtrack,producer"
Charles Bronson,1921,2003,actor
Louise Brooks,1906,1985,"actress,soundtrack"
Mel Brooks,1926,\N,"actor,writer,soundtrack"
Clancy Brown,1959,\N,"actor,soundtrack,producer"
Tim Burton,1958,\N,"producer,miscellaneous,director"
Yancy Butler,1970,\N,actress
Luis BuÃ±uel,1900,1983,"writer,director,actor"
Gabriel Byrne,1950,\N,"actor,producer,writer"
Emmanuelle BÃ©art,1963,\N,"actress,soundtrack"
Michael Caine,1933,\N,"actor,producer,soundtrack"
Barbara Carrera,1945,\N,"actress,soundtrack"
David Caruso,1956,\N,"actor,producer"
Kim Cattrall,1956,\N,"actress,producer,soundtrack"
Lacey Chabert,1982,\N,"actress,soundtrack,producer"
Richard Chamberlain,1934,\N,"actor,soundtrack,producer"
Jackie Chan,1954,\N,"actor,stunts,producer"
Stockard Channing,1944,\N,"actress,soundtrack,miscellaneous"
Chevy Chase,1943,\N,"actor,writer,soundtrack"
Don Cheadle,1964,\N,"actor,producer,soundtrack"
Cher,1946,\N,"soundtrack,actress,producer"
Yun-Fat Chow,1955,\N,"actor,writer,soundtrack"
Glenn Close,1947,\N,"actress,soundtrack,producer"
James Coburn,1928,2002,"actor,producer,director"
Rachael Leigh Cook,1979,\N,"actress,producer"
Francis Ford Coppola,1939,\N,"producer,director,writer"
Roger Corman,1926,\N,"producer,director,actor"
Cindy Crawford,1966,\N,"actress,producer,soundtrack"
Michael Crichton,1942,2008,"writer,producer,director"
James Cromwell,1940,\N,"actor,producer,soundtrack"
David Cronenberg,1943,\N,"director,actor,writer"
Denise Crosby,1957,\N,"actress,producer"
Billy Crystal,1948,\N,"actor,writer,producer"
Macaulay Culkin,1980,\N,"actor,director,producer"
Tim Curry,1946,\N,"actor,soundtrack,producer"
Tony Curtis,1925,2010,"actor,soundtrack,producer"
Joan Cusack,1962,\N,"actress,soundtrack,writer"
Beverly D'Angelo,1951,\N,"actress,soundtrack,producer"
Donna D'Errico,1968,\N,"actress,producer,director"
Vincent D'Onofrio,1959,\N,"actor,producer,soundtrack"
Willem Dafoe,1955,\N,"actor,soundtrack,producer"
Matt Damon,1970,\N,"producer,actor,soundtrack"
Anthony Daniels,1946,\N,"actor,producer,writer"
Sybil Danning,1952,\N,"actress,producer,writer"
Lolita Davidovich,1961,\N,actress
Daniel Day-Lewis,1957,\N,"actor,music_department,soundtrack"
Olivier De FunÃ¨s,1949,\N,"actor,writer,soundtrack"
Rebecca De Mornay,1959,\N,"actress,soundtrack,producer"
Brian De Palma,1940,\N,"director,writer,producer"
Danny DeVito,1944,\N,"actor,producer,director"
Loren Dean,1969,\N,"actor,soundtrack"
Sandra Dee,1942,2005,"actress,soundtrack"
Julie Delpy,1969,\N,"actress,writer,director"
Catherine Deneuve,1943,\N,"actress,soundtrack,producer"
GÃ©rard Depardieu,1948,\N,"actor,producer,soundtrack"
Laura Dern,1967,\N,"actress,producer,writer"
Matt Dillon,1964,\N,"actor,art_department,director"
Walt Disney,1901,1966,"producer,actor,director"
Ami Dolenz,1969,\N,"actress,producer,miscellaneous"
Amanda Donohoe,1962,\N,"actress,producer"
Michael Dorn,1952,\N,"actor,director,writer"
Brad Dourif,1950,\N,actor
Robert Downey Jr.,1965,\N,"actor,producer,soundtrack"
Fran Drescher,1957,\N,"writer,actress,producer"
Richard Dreyfuss,1947,\N,"actor,producer,soundtrack"
Minnie Driver,1970,\N,"actress,soundtrack,producer"
Kirsten Dunst,1982,\N,"actress,producer,director"
Robert Duvall,1931,\N,"actor,producer,soundtrack"
Anthony Edwards,1962,\N,"actor,producer,director"
Atom Egoyan,1960,\N,"director,writer,producer"
Jennifer Ehle,1969,\N,actress
Danny Elfman,1953,\N,"music_department,soundtrack,composer"
Sam Elliott,1944,\N,"actor,producer,writer"
Roland Emmerich,1955,\N,"writer,producer,director"
Robert Englund,1947,\N,"actor,miscellaneous,director"
R. Lee Ermey,1944,2018,"actor,miscellaneous,producer"
Emilio Estevez,1962,\N,"actor,director,writer"
Joe Eszterhas,1944,\N,"writer,producer,miscellaneous"
Rupert Everett,1959,\N,"actor,soundtrack,producer"
Morgan Fairchild,1950,\N,"actress,soundtrack,producer"
Peter Falk,1927,2011,"actor,producer,soundtrack"
Chris Farley,1964,1997,"actor,soundtrack,stunts"
Terry Farrell,1963,\N,actress
Farrah Fawcett,1947,2009,"actress,producer,soundtrack"
Corey Feldman,1971,\N,"actor,producer,soundtrack"
Sally Field,1946,\N,"actress,producer,soundtrack"
David Fincher,1962,\N,"producer,director,actor"
Linda Fiorentino,1958,\N,"actress,soundtrack"
Laurence Fishburne,1961,\N,"actor,producer,director"
Carrie Fisher,1956,2016,"actress,soundtrack,writer"
Bridget Fonda,1964,\N,"actress,soundtrack"
Jane Fonda,1937,\N,"actress,producer,soundtrack"
Michelle Forbes,1965,\N,actress
John Ford,1894,1973,"director,producer,writer"
Vivica A. Fox,1964,\N,"actress,producer,soundtrack"
Jonathan Frakes,1952,\N,"actor,director,producer"
Brendan Fraser,1968,\N,"actor,producer,soundtrack"
Stephen Fry,1957,\N,"actor,writer,producer"
Edward Furlong,1977,\N,"actor,producer,soundtrack"
Andy Garcia,1956,\N,"actor,producer,soundtrack"
Janeane Garofalo,1964,\N,"actress,writer,producer"
Teri Garr,1947,\N,"actress,soundtrack"
Jami Gertz,1965,\N,"actress,producer,executive"
Terry Gilliam,1940,\N,"writer,actor,animation_department"
Crispin Glover,1964,\N,"actor,soundtrack,producer"
Danny Glover,1946,\N,"actor,producer,director"
